"CustomerID","ProdTaken","Age","TypeofContact","CityTier","DurationOfPitch","Occupation","Gender","NumberOfPersonVisiting","NumberOfFollowups","ProductPitched","PreferredPropertyStar","MaritalStatus","NumberOfTrips","Passport","PitchSatisfactionScore","OwnCar","NumberOfChildrenVisiting","Designation","MonthlyIncome","time","diff"
"203514","0","29","Company Invited","3","14","Salaried","Male","3","4","Deluxe","5","Unmarried","2","0","3","1","2","Manager","23576","1761110544166","1"
"202234","0","28","Self Enquiry","3","16","Small Business","Male","3","3","Basic","4","Married","2","0","5","0","2","Executive","16052","1761110544166","1"
"202684","0","40","Self Enquiry","1","7","Small Business","Female","4","4","Basic","3","Married","2","0","3","0","2","Executive","20910","1761110544166","1"
"201651","0","34","Self Enquiry","1","33","Small Business","Female","3","3","Basic","4","Single","3","0","3","0","0","Executive","17311","1761110544166","1"
"201426","0","32","Self Enquiry","1","35","Salaried","Female","2","4","Basic","4","Single","2","0","3","1","0","Executive","17837","1761110544166","1"
"203554","1","36","Self Enquiry","1","9","Salaried","Female","4","4","Basic","5","Married","3","1","1","1","2","Executive","20752","1761110544166","1"
"201891","1","29","Self Enquiry","1","31","Large Business","Female","3","4","Basic","4","Married","6","0","3","1","2","Executive","17546","1761110544166","1"
"200467","0","37","Company Invited","3","15","Small Business","Male","3","3","Standard","4","Married","2","0","2","1","0","Senior Manager","23834","1761110544166","1"
"201164","0","40","Self Enquiry","1","22","Salaried","Female","2","3","Standard","3","Unmarried","7","1","4","1","0","Senior Manager","22945","1761110544166","1"
"200429","0","46","Self Enquiry","1","8","Salaried","Male","2","3","Super Deluxe","3","Divorced","7","0","5","0","0","AVP","32861","1761110544166","1"
"202935","0","44","Company Invited","1","16","Small Business","Male","4","4","Deluxe","3","Married","5","1","3","1","1","Manager","24357","1761110544166","1"
"201448","0","41","Self Enquiry","3","9","Salaried","Male","2","4","Deluxe","4","Married","3","0","3","0","1","Manager","23938","1761110544166","1"
"203415","0","52","Self Enquiry","1","18","Large Business","Female","3","5","Super Deluxe","4","Single","5","0","1","0","2","AVP","31820","1761110544166","1"
"201572","1","20","Company Invited","1","12","Salaried","Female","3","4","Basic","3","Single","2","1","1","0","0","Executive","17926","1761110544166","1"
"202947","0","35","Self Enquiry","1","7","Salaried","Male","3","4","Basic","3","Divorced","3","0","3","1","1","Executive","21369","1761110544166","1"
"200473","0","49","Self Enquiry","1","24","Salaried","Male","2","4","King","3","Married","2","1","3","0","1","VP","34502","1761110544166","1"
"202115","1","29","Self Enquiry","3","6","Small Business","Female","2","4","Basic","3","Married","7","1","1","1","1","Executive","17800","1761110544166","1"
"204032","0","37","Self Enquiry","1","10","Salaried","Female","3","4","Basic","3","Married","7","0","1","0","2","Executive","21513","1761110544166","1"
"203531","0","35","Self Enquiry","3","14","Large Business","Male","3","4","Basic","3","Married","2","1","1","0","2","Executive","20986","1761110544166","1"
"202357","0","42","Company Invited","1","32","Small Business","Female","2","3","Standard","5","Married","4","1","3","0","0","Senior Manager","28191","1761110544166","1"
"202340","0","35","Self Enquiry","3","23","Salaried","Male","3","3","Deluxe","5","Married","4","1","3","0","2","Manager","23966","1761110544166","1"
"203680","1","37","Self Enquiry","3","20","Small Business","Male","4","5","Deluxe","5","Married","7","1","1","1","1","Manager","24812","1761110544166","1"
"204102","0","35","Company Invited","1","9","Salaried","Male","3","5","Deluxe","3","Married","3","0","4","0","2","Manager","28225","1761110544166","1"
"202247","1","21","Self Enquiry","1","16","Salaried","Female","2","4","Basic","5","Single","2","0","3","0","1","Executive","16416","1761110544166","1"
"204824","1","24","Company Invited","3","8","Salaried","Female","3","4","Basic","4","Single","3","1","5","1","2","Executive","19901","1761110544166","1"
"203869","0","34","Self Enquiry","1","22","Small Business","Female","4","4","Deluxe","3","Married","2","1","1","1","2","Manager","23556","1761110544166","1"
"200468","0","52","Self Enquiry","1","12","Large Business","Male","3","3","Deluxe","5","Married","4","1","4","1","2","Manager","20577","1761110544166","1"
"202145","0","31","Self Enquiry","3","13","Salaried","Male","2","4","Basic","3","Married","4","0","4","1","1","Executive","17329","1761110544166","1"
"202375","1","29","Self Enquiry","1","13","Large Business","Female","2","3","Basic","3","Married","4","1","4","1","0","Executive","31124","1761110544166","1"
"202391","1","28","Self Enquiry","1","14","Salaried","Female","2","4","Basic","4","Single","2","0","4","0","1","Executive","17154","1761110544166","1"
"201586","0","34","Self Enquiry","1","11","Small Business","Fe Male","2","4","Standard","5","Unmarried","3","0","1","1","1","Senior Manager","26631","1761110544166","1"
"202173","0","38","Company Invited","3","16","Large Business","Female","2","3","Deluxe","3","Single","2","1","3","1","0","Manager","20666","1761110544166","1"
"204066","0","54","Self Enquiry","3","13","Small Business","Male","3","4","Deluxe","3","Married","4","1","5","0","2","Manager","20984","1761110544166","1"
"203616","0","30","Self Enquiry","3","17","Small Business","Male","3","5","Deluxe","3","Unmarried","2","0","4","1","1","Manager","24547","1761110544166","1"
"203315","1","25","Self Enquiry","1","24","Salaried","Female","4","4","Basic","4","Divorced","3","0","2","0","2","Executive","20888","1761110544166","1"
"201921","0","42","Self Enquiry","1","30","Small Business","Male","2","3","Standard","5","Married","2","1","1","1","0","Senior Manager","22406","1761110544166","1"
"202858","1","25","Self Enquiry","3","7","Large Business","Female","4","4","Basic","4","Unmarried","3","1","4","1","3","Executive","21880","1761110544166","1"
"203227","0","42","Self Enquiry","1","14","Large Business","Female","3","2","Basic","3","Divorced","3","0","3","1","2","Executive","22054","1761110544166","1"
"204467","0","41","Self Enquiry","1","9","Small Business","Female","3","5","Basic","3","Single","2","1","3","0","1","Executive","21020","1761110544166","1"
"200731","1","20","Self Enquiry","1","17","Small Business","Female","3","4","Basic","5","Single","2","1","3","0","1","Executive","17600","1761110544166","1"
"203318","0","31","Self Enquiry","1","14","Salaried","Male","3","4","Deluxe","3","Married","3","0","5","1","2","Manager","22169","1761110544166","1"
"204105","0","28","Self Enquiry","1","16","Small Business","Female","5","4","Basic","4","Single","3","0","3","0","2","Executive","20957","1761110544166","1"
"201887","0","40","Self Enquiry","3","8","Salaried","Female","3","3","King","3","Married","1","0","3","1","0","VP","33041","1761110544166","1"
